date_jour,cp1,Dp1,HEURE_POINTE_1H,cp2,Dp2,HEURE_POINTE_2H,cp3,Dp3,HEURE_POINTE_3H,LENGTH
2023-01-01,92.35,0.07,2023-01-01 17:30:00,93.54,0.06,2023-01-01 16:30:00,94.25,0.05,2023-01-01 15:30:00,115
2023-01-02,86.42,0.13,2023-01-02 05:30:00,89.09,0.1,2023-01-02 04:30:00,90.64,0.09,2023-01-02 05:15:00,115
2023-01-03,79.63,0.21,2023-01-03 17:15:00,90.0,0.09,2023-01-03 17:45:00,92.25,0.07,2023-01-03 17:00:00,115
2023-01-04,86.15,0.13,2023-01-04 19:00:00,88.89,0.1,2023-01-04 18:00:00,90.5,0.09,2023-01-04 17:00:00,115
2023-01-05,85.97,0.13,2023-01-05 18:30:00,89.32,0.1,2023-01-05 17:45:00,90.17,0.09,2023-01-05 17:15:00,115
2023-01-06,89.54,0.1,2023-01-06 19:30:00,92.03,0.07,2023-01-06 11:30:00,94.38,0.05,2023-01-06 11:00:00,115
2023-01-07,91.12,0.08,2023-01-07 08:30:00,93.28,0.06,2023-01-07 07:45:00,95.36,0.04,2023-01-07 16:45:00,115
2023-01-08,86.25,0.13,2023-01-08 07:15:00,92.32,0.07,2023-01-08 06:30:00,95.04,0.04,2023-01-08 19:15:00,115
2023-01-09,79.08,0.22,2023-01-09 08:15:00,86.93,0.12,2023-01-09 07:45:00,89.76,0.09,2023-01-09 06:30:00,115
2023-01-10,84.43,0.15,2023-01-10 17:00:00,86.3,0.13,2023-01-10 17:00:00,88.08,0.11,2023-01-10 16:00:00,115
2023-01-11,33.85,1.61,2023-01-11 09:15:00,61.37,0.52,2023-01-11 08:30:00,71.7,0.32,2023-01-11 07:15:00,115
2023-01-12,55.56,0.66,2023-01-12 17:30:00,66.31,0.42,2023-01-12 16:45:00,77.81,0.23,2023-01-12 16:00:00,115
2023-01-13,92.42,0.07,2023-01-13 08:45:00,93.36,0.06,2023-01-13 07:15:00,94.2,0.05,2023-01-13 07:00:00,115
2023-01-14,79.15,0.22,2023-01-14 19:15:00,85.41,0.14,2023-01-14 18:30:00,86.73,0.13,2023-01-14 19:00:00,115
2023-01-15,94.96,0.04,2023-01-15 05:30:00,98.27,0.01,2023-01-15 04:30:00,100.35,-0.0,2023-01-15 16:00:00,115
2023-01-16,54.7,0.68,2023-01-16 08:00:00,71.19,0.33,2023-01-16 07:30:00,76.74,0.25,2023-01-16 06:30:00,115
2023-01-17,90.4,0.09,2023-01-17 08:30:00,92.1,0.07,2023-01-17 07:30:00,92.73,0.06,2023-01-17 17:00:00,115
2023-01-18,70.23,0.35,2023-01-18 08:30:00,81.58,0.19,2023-01-18 08:30:00,85.15,0.14,2023-01-18 06:45:00,115
2023-01-19,45.23,1.0,2023-01-19 08:30:00,63.61,0.47,2023-01-19 08:15:00,71.2,0.33,2023-01-19 07:45:00,115
2023-01-20,41.7,1.15,2023-01-20 08:45:00,58.02,0.6,2023-01-20 08:30:00,70.71,0.34,2023-01-20 07:30:00,115
2023-01-21,92.83,0.06,2023-01-21 07:00:00,93.74,0.05,2023-01-21 06:15:00,95.99,0.03,2023-01-21 06:15:00,115
2023-01-22,94.55,0.05,2023-01-22 03:00:00,97.82,0.02,2023-01-22 01:30:00,98.55,0.01,2023-01-22 01:30:00,115
2023-01-23,74.04,0.29,2023-01-23 09:00:00,79.48,0.21,2023-01-23 08:15:00,83.88,0.16,2023-01-23 07:15:00,115
2023-01-24,89.03,0.1,2023-01-24 07:45:00,90.88,0.08,2023-01-24 07:30:00,92.63,0.07,2023-01-24 06:15:00,115
2023-01-25,89.47,0.1,2023-01-25 03:15:00,91.22,0.08,2023-01-25 07:00:00,91.53,0.08,2023-01-25 07:45:00,115
2023-01-26,77.81,0.23,2023-01-26 04:00:00,86.85,0.12,2023-01-26 03:45:00,90.17,0.09,2023-01-26 04:00:00,115
2023-01-27,90.09,0.09,2023-01-27 18:15:00,93.71,0.06,2023-01-27 08:45:00,94.8,0.05,2023-01-27 09:15:00,115
2023-01-28,91.29,0.08,2023-01-28 02:45:00,94.89,0.04,2023-01-28 06:00:00,96.58,0.03,2023-01-28 05:00:00,115
2023-01-29,97.29,0.02,2023-01-29 05:30:00,98.41,0.01,2023-01-29 21:45:00,99.81,0.0,2023-01-29 04:45:00,115
2023-01-30,78.22,0.23,2023-01-30 08:45:00,85.73,0.14,2023-01-30 08:00:00,87.95,0.11,2023-01-30 06:30:00,115
2023-01-31,83.88,0.16,2023-01-31 08:30:00,89.32,0.1,2023-01-31 07:30:00,89.84,0.09,2023-01-31 06:45:00,115
2023-02-01,92.7,0.06,2023-02-01 07:45:00,93.79,0.05,2023-02-01 06:45:00,94.26,0.05,2023-02-01 07:00:00,115
2023-02-02,88.24,0.11,2023-02-02 06:45:00,92.22,0.07,2023-02-02 06:45:00,93.03,0.06,2023-02-02 06:30:00,115
2023-02-03,91.77,0.07,2023-02-03 08:15:00,92.78,0.06,2023-02-03 07:15:00,94.6,0.05,2023-02-03 07:15:00,115
2023-02-04,84.98,0.15,2023-02-04 08:45:00,88.6,0.11,2023-02-04 09:00:00,91.82,0.07,2023-02-04 06:15:00,115
2023-02-05,94.07,0.05,2023-02-05 02:15:00,96.43,0.03,2023-02-05 02:30:00,98.46,0.01,2023-02-05 01:30:00,115
2023-02-06,84.91,0.15,2023-02-06 08:00:00,89.66,0.09,2023-02-06 07:45:00,91.36,0.08,2023-02-06 07:15:00,115
2023-02-07,29.84,1.94,2023-02-07 08:15:00,37.35,1.38,2023-02-07 08:00:00,54.79,0.68,2023-02-07 07:00:00,115
2023-02-08,46.64,0.94,2023-02-08 08:15:00,68.07,0.39,2023-02-08 07:30:00,75.71,0.26,2023-02-08 06:45:00,115
2023-02-09,57.03,0.62,2023-02-09 08:30:00,74.26,0.29,2023-02-09 08:15:00,82.09,0.18,2023-02-09 07:00:00,115
2023-02-10,89.54,0.1,2023-02-10 13:30:00,91.91,0.07,2023-02-10 12:45:00,93.12,0.06,2023-02-10 13:30:00,115
2023-02-11,86.63,0.13,2023-02-11 10:30:00,93.31,0.06,2023-02-11 10:15:00,93.14,0.06,2023-02-11 10:30:00,115
2023-02-12,93.28,0.06,2023-02-12 20:45:00,95.39,0.04,2023-02-12 20:00:00,98.19,0.02,2023-02-12 19:00:00,115
2023-02-13,90.64,0.09,2023-02-13 08:30:00,94.22,0.05,2023-02-13 07:45:00,94.52,0.05,2023-02-13 06:45:00,115
2023-02-14,80.76,0.2,2023-02-14 17:15:00,89.54,0.1,2023-02-14 17:45:00,92.87,0.06,2023-02-14 17:45:00,115
2023-02-15,62.31,0.5,2023-02-15 09:15:00,77.07,0.24,2023-02-15 08:00:00,81.54,0.19,2023-02-15 07:30:00,115
2023-02-16,92.87,0.06,2023-02-16 06:15:00,93.5,0.06,2023-02-16 06:15:00,94.51,0.05,2023-02-16 06:15:00,115
2023-02-17,91.53,0.08,2023-02-17 19:15:00,95.52,0.04,2023-02-17 06:00:00,96.25,0.03,2023-02-17 06:30:00,115
2023-02-18,91.12,0.08,2023-02-18 05:30:00,95.32,0.04,2023-02-18 04:45:00,98.43,0.01,2023-02-18 04:15:00,115
2023-02-19,96.95,0.03,2023-02-19 02:30:00,102.28,-0.02,2023-02-19 04:30:00,103.51,-0.03,2023-02-19 02:45:00,115
2023-02-20,89.23,0.1,2023-02-20 18:30:00,92.54,0.07,2023-02-20 18:15:00,94.01,0.05,2023-02-20 18:15:00,115
2023-02-21,88.51,0.11,2023-02-21 07:30:00,91.74,0.07,2023-02-21 06:45:00,92.68,0.06,2023-02-21 06:45:00,115
2023-02-22,91.74,0.07,2023-02-22 02:30:00,95.1,0.04,2023-02-22 07:00:00,96.1,0.03,2023-02-22 13:00:00,115
2023-02-23,86.69,0.13,2023-02-23 03:45:00,90.47,0.09,2023-02-23 02:45:00,92.28,0.07,2023-02-23 02:30:00,115
