date_jour,cp1,Dp1,HEURE_POINTE_1H,cp2,Dp2,HEURE_POINTE_2H,cp3,Dp3,HEURE_POINTE_3H,LENGTH
2023-01-01,94.04,0.06,2023-01-01 17:00:00,97.25,0.03,2023-01-01 16:45:00,98.99,0.01,2023-01-01 17:00:00,91
2023-01-02,99.54,0.0,2023-01-02 07:15:00,99.81,0.0,2023-01-02 06:45:00,101.59,-0.02,2023-01-02 06:30:00,91
2023-01-03,97.44,0.03,2023-01-03 19:00:00,101.11,-0.01,2023-01-03 17:45:00,101.8,-0.02,2023-01-03 17:30:00,91
2023-01-04,96.56,0.04,2023-01-04 07:30:00,97.57,0.03,2023-01-04 07:30:00,98.69,0.01,2023-01-04 06:45:00,91
2023-01-05,98.78,0.01,2023-01-05 17:00:00,100.06,-0.0,2023-01-05 07:30:00,100.42,-0.0,2023-01-05 16:45:00,91
2023-01-06,98.62,0.01,2023-01-06 08:00:00,99.98,0.0,2023-01-06 07:00:00,101.61,-0.02,2023-01-06 17:15:00,91
2023-01-07,95.3,0.05,2023-01-07 18:00:00,96.14,0.04,2023-01-07 16:45:00,96.35,0.04,2023-01-07 16:15:00,91
2023-01-08,97.15,0.03,2023-01-08 16:45:00,100.31,-0.0,2023-01-08 18:30:00,100.66,-0.01,2023-01-08 16:30:00,91
2023-01-09,54.15,0.85,2023-01-09 08:15:00,74.37,0.35,2023-01-09 07:15:00,84.03,0.19,2023-01-09 07:15:00,91
2023-01-10,95.47,0.05,2023-01-10 17:15:00,97.53,0.03,2023-01-10 16:30:00,98.6,0.01,2023-01-10 16:00:00,91
2023-01-11,91.82,0.09,2023-01-11 08:00:00,93.46,0.07,2023-01-11 07:15:00,94.81,0.06,2023-01-11 06:45:00,91
2023-01-12,95.01,0.05,2023-01-12 18:15:00,97.57,0.03,2023-01-12 18:15:00,99.83,0.0,2023-01-12 06:15:00,91
2023-01-13,98.41,0.02,2023-01-13 18:15:00,100.29,-0.0,2023-01-13 18:00:00,100.92,-0.01,2023-01-13 17:00:00,91
2023-01-14,93.41,0.07,2023-01-14 19:30:00,96.87,0.03,2023-01-14 19:30:00,97.25,0.03,2023-01-14 17:15:00,91
2023-01-15,97.19,0.03,2023-01-15 18:15:00,99.04,0.01,2023-01-15 18:00:00,99.97,0.0,2023-01-15 17:30:00,91
2023-01-16,92.41,0.08,2023-01-16 08:15:00,94.51,0.06,2023-01-16 07:45:00,96.43,0.04,2023-01-16 07:00:00,91
2023-01-17,71.18,0.41,2023-01-17 08:00:00,83.05,0.21,2023-01-17 07:15:00,89.39,0.12,2023-01-17 06:30:00,91
2023-01-18,92.7,0.08,2023-01-18 07:30:00,96.9,0.03,2023-01-18 06:45:00,100.04,-0.0,2023-01-18 06:30:00,91
2023-01-19,97.32,0.03,2023-01-19 07:15:00,98.51,0.02,2023-01-19 07:15:00,100.71,-0.01,2023-01-19 06:15:00,91
2023-01-20,96.39,0.04,2023-01-20 07:30:00,98.57,0.01,2023-01-20 07:00:00,100.1,-0.0,2023-01-20 06:45:00,91
2023-01-21,99.87,0.0,2023-01-21 18:00:00,100.48,-0.0,2023-01-21 18:00:00,101.73,-0.02,2023-01-21 17:30:00,91
2023-01-22,101.47,-0.01,2023-01-22 18:15:00,102.08,-0.02,2023-01-22 18:15:00,102.32,-0.02,2023-01-22 17:45:00,91
2023-01-23,99.33,0.01,2023-01-23 18:30:00,101.82,-0.02,2023-01-23 17:30:00,102.61,-0.03,2023-01-23 16:45:00,91
2023-01-24,99.83,0.0,2023-01-24 16:15:00,100.71,-0.01,2023-01-24 16:00:00,101.68,-0.02,2023-01-24 16:15:00,91
2023-01-25,96.22,0.04,2023-01-25 07:30:00,97.08,0.03,2023-01-25 07:15:00,98.76,0.01,2023-01-25 07:00:00,91
2023-01-26,96.73,0.03,2023-01-26 07:15:00,97.42,0.03,2023-01-26 07:15:00,99.47,0.01,2023-01-26 06:15:00,91
2023-01-27,98.83,0.01,2023-01-27 07:30:00,99.96,0.0,2023-01-27 07:15:00,101.15,-0.01,2023-01-27 06:30:00,91
2023-01-28,97.69,0.02,2023-01-28 19:15:00,99.71,0.0,2023-01-28 18:15:00,100.41,-0.0,2023-01-28 18:00:00,91
2023-01-29,67.58,0.48,2023-01-29 19:30:00,79.07,0.27,2023-01-29 18:30:00,82.98,0.21,2023-01-29 17:30:00,91
2023-01-30,98.45,0.02,2023-01-30 07:30:00,99.9,0.0,2023-01-30 06:30:00,101.59,-0.02,2023-01-30 06:30:00,91
2023-01-31,87.88,0.14,2023-01-31 21:45:00,97.8,0.02,2023-01-31 20:45:00,99.72,0.0,2023-01-31 19:30:00,91
2023-02-01,97.69,0.02,2023-02-01 07:30:00,101.13,-0.01,2023-02-01 06:30:00,103.16,-0.03,2023-02-01 16:45:00,91
2023-02-02,100.46,-0.0,2023-02-02 18:00:00,101.76,-0.02,2023-02-02 18:00:00,102.2,-0.02,2023-02-02 18:00:00,91
2023-02-03,97.27,0.03,2023-02-03 03:15:00,101.38,-0.01,2023-02-03 06:30:00,103.1,-0.03,2023-02-03 06:15:00,91
2023-02-04,95.05,0.05,2023-02-04 17:00:00,96.27,0.04,2023-02-04 15:30:00,97.44,0.03,2023-02-04 15:00:00,91
2023-02-05,94.92,0.05,2023-02-05 18:15:00,97.23,0.03,2023-02-05 17:45:00,98.74,0.01,2023-02-05 17:45:00,91
2023-02-06,97.9,0.02,2023-02-06 07:45:00,99.87,0.0,2023-02-06 07:45:00,100.07,-0.0,2023-02-06 06:15:00,91
2023-02-07,97.36,0.03,2023-02-07 06:45:00,101.78,-0.02,2023-02-07 06:30:00,102.43,-0.02,2023-02-07 06:45:00,91
2023-02-08,25.84,2.89,2023-02-08 15:45:00,32.4,2.1,2023-02-08 15:00:00,55.75,0.8,2023-02-08 14:15:00,91
2023-02-09,95.34,0.05,2023-02-09 07:15:00,98.36,0.02,2023-02-09 07:00:00,98.83,0.01,2023-02-09 07:00:00,91
2023-02-10,93.54,0.07,2023-02-10 19:00:00,95.55,0.05,2023-02-10 18:00:00,97.04,0.03,2023-02-10 17:00:00,91
2023-02-11,95.76,0.04,2023-02-11 18:30:00,96.96,0.03,2023-02-11 18:30:00,99.22,0.01,2023-02-11 17:30:00,91
2023-02-12,48.91,1.05,2023-02-12 18:15:00,74.06,0.35,2023-02-12 17:15:00,83.91,0.19,2023-02-12 17:15:00,91
2023-02-13,99.62,0.0,2023-02-13 07:00:00,100.0,-0.0,2023-02-13 22:00:00,102.71,-0.03,2023-02-13 18:00:00,91
2023-02-14,92.24,0.08,2023-02-14 19:00:00,96.33,0.04,2023-02-14 18:30:00,100.0,-0.0,2023-02-14 00:45:00,91
2023-02-15,97.48,0.03,2023-02-15 07:15:00,100.08,-0.0,2023-02-15 06:45:00,101.13,-0.01,2023-02-15 06:45:00,91
2023-02-16,96.9,0.03,2023-02-16 07:15:00,100.59,-0.01,2023-02-16 07:00:00,102.61,-0.03,2023-02-16 06:45:00,91
2023-02-17,96.27,0.04,2023-02-17 07:00:00,100.02,-0.0,2023-02-17 06:30:00,101.17,-0.01,2023-02-17 06:30:00,91
2023-02-18,98.11,0.02,2023-02-18 19:15:00,99.69,0.0,2023-02-18 18:45:00,101.19,-0.01,2023-02-18 18:45:00,91
2023-02-19,99.92,0.0,2023-02-19 18:45:00,100.94,-0.01,2023-02-19 18:15:00,102.6,-0.03,2023-02-19 18:15:00,91
2023-02-20,100.5,-0.01,2023-02-20 18:15:00,101.36,-0.01,2023-02-20 18:15:00,102.92,-0.03,2023-02-20 17:30:00,91
2023-02-21,101.85,-0.02,2023-02-21 08:00:00,103.02,-0.03,2023-02-21 07:15:00,103.71,-0.04,2023-02-21 06:30:00,91
2023-02-22,98.78,0.01,2023-02-22 15:15:00,101.95,-0.02,2023-02-22 14:30:00,103.38,-0.03,2023-02-22 14:15:00,91
2023-02-23,100.21,-0.0,2023-02-23 16:15:00,101.64,-0.02,2023-02-23 06:45:00,102.36,-0.02,2023-02-23 07:00:00,91
2023-02-24,101.13,-0.01,2023-02-24 18:30:00,101.89,-0.02,2023-02-24 18:30:00,103.65,-0.04,2023-02-24 18:30:00,91
2023-02-25,98.45,0.02,2023-02-25 16:00:00,99.56,0.0,2023-02-25 18:00:00,101.09,-0.01,2023-02-25 17:30:00,91
2023-02-26,93.62,0.07,2023-02-26 18:45:00,95.68,0.05,2023-02-26 18:00:00,98.57,0.01,2023-02-26 17:30:00,91
