date_jour,cp1,Dp1,HEURE_POINTE_1H,cp2,Dp2,HEURE_POINTE_2H,cp3,Dp3,HEURE_POINTE_3H,LENGTH
2023-01-01,21.06,3.77,2023-01-01 01:45:00,28.0,2.59,2023-01-01 01:15:00,47.01,1.13,2023-01-01 00:30:00,97
2023-01-02,9.61,9.47,2023-01-02 15:15:00,17.72,4.67,2023-01-02 15:15:00,23.8,3.22,2023-01-02 15:15:00,97
2023-01-03,23.36,3.3,2023-01-03 08:45:00,34.54,1.91,2023-01-03 08:00:00,46.9,1.14,2023-01-03 07:00:00,97
2023-01-04,38.26,1.62,2023-01-04 17:00:00,42.28,1.37,2023-01-04 07:30:00,57.37,0.75,2023-01-04 06:45:00,97
2023-01-05,32.26,2.11,2023-01-05 08:30:00,36.49,1.75,2023-01-05 16:30:00,45.51,1.21,2023-01-05 16:15:00,97
2023-01-06,22.15,3.54,2023-01-06 09:30:00,43.54,1.31,2023-01-06 08:45:00,57.75,0.74,2023-01-06 09:15:00,97
2023-01-07,35.99,1.79,2023-01-07 18:45:00,45.76,1.19,2023-01-07 18:15:00,56.99,0.76,2023-01-07 17:15:00,97
2023-01-08,34.73,1.89,2023-01-08 18:45:00,48.11,1.09,2023-01-08 18:00:00,63.13,0.59,2023-01-08 17:30:00,97
2023-01-09,17.03,4.9,2023-01-09 16:30:00,19.15,4.25,2023-01-09 15:30:00,20.48,3.91,2023-01-09 15:45:00,97
2023-01-10,15.6,5.44,2023-01-10 17:15:00,18.16,4.54,2023-01-10 16:30:00,18.96,4.3,2023-01-10 15:30:00,97
2023-01-11,23.11,3.35,2023-01-11 17:15:00,25.67,2.91,2023-01-11 16:30:00,27.57,2.64,2023-01-11 16:30:00,97
2023-01-12,19.38,4.19,2023-01-12 17:45:00,21.31,3.72,2023-01-12 16:45:00,24.11,3.17,2023-01-12 16:30:00,97
2023-01-13,19.76,4.09,2023-01-13 14:30:00,21.92,3.59,2023-01-13 14:45:00,24.08,3.17,2023-01-13 14:30:00,97
2023-01-14,34.69,1.9,2023-01-14 16:00:00,38.02,1.64,2023-01-14 15:00:00,43.58,1.3,2023-01-14 15:15:00,97
2023-01-15,34.61,1.9,2023-01-15 19:00:00,36.72,1.73,2023-01-15 18:00:00,46.18,1.17,2023-01-15 17:30:00,97
2023-01-16,20.01,4.02,2023-01-16 08:30:00,23.05,3.36,2023-01-16 16:00:00,23.35,3.3,2023-01-16 16:00:00,97
2023-01-17,13.63,6.38,2023-01-17 18:00:00,16.42,5.12,2023-01-17 17:00:00,17.17,4.86,2023-01-17 16:00:00,97
2023-01-18,13.05,6.71,2023-01-18 17:45:00,14.7,5.84,2023-01-18 17:15:00,16.11,5.24,2023-01-18 16:30:00,97
2023-01-19,16.44,5.12,2023-01-19 17:45:00,19.48,4.16,2023-01-19 17:15:00,24.05,3.18,2023-01-19 16:30:00,97
2023-01-20,17.53,4.73,2023-01-20 17:45:00,20.43,3.92,2023-01-20 16:45:00,22.78,3.41,2023-01-20 16:45:00,97
2023-01-21,40.69,1.47,2023-01-21 11:30:00,49.48,1.03,2023-01-21 17:45:00,55.59,0.8,2023-01-21 17:30:00,97
2023-01-22,33.43,2.0,2023-01-22 17:30:00,35.86,1.8,2023-01-22 17:00:00,38.17,1.63,2023-01-22 16:00:00,97
2023-01-23,21.48,3.68,2023-01-23 18:30:00,24.39,3.12,2023-01-23 18:00:00,24.36,3.13,2023-01-23 16:45:00,97
2023-01-24,17.16,4.86,2023-01-24 17:45:00,19.02,4.29,2023-01-24 17:15:00,19.87,4.06,2023-01-24 16:30:00,97
2023-01-25,14.14,6.11,2023-01-25 16:45:00,16.32,5.16,2023-01-25 16:45:00,18.12,4.55,2023-01-25 16:30:00,97
2023-01-26,15.65,5.43,2023-01-26 18:15:00,17.93,4.61,2023-01-26 17:15:00,18.04,4.57,2023-01-26 16:15:00,97
2023-01-27,18.88,4.33,2023-01-27 17:00:00,22.8,3.41,2023-01-27 16:30:00,26.82,2.75,2023-01-27 15:45:00,97
2023-01-28,29.19,2.44,2023-01-28 11:30:00,40.86,1.46,2023-01-28 11:00:00,42.99,1.33,2023-01-28 11:00:00,97
2023-01-29,33.81,1.97,2023-01-29 11:15:00,50.82,0.97,2023-01-29 11:15:00,57.73,0.74,2023-01-29 11:15:00,97
2023-01-30,19.67,4.11,2023-01-30 18:00:00,23.05,3.36,2023-01-30 17:15:00,24.19,3.16,2023-01-30 16:00:00,97
2023-01-31,17.83,4.64,2023-01-31 16:15:00,19.67,4.11,2023-01-31 15:45:00,22.43,3.48,2023-01-31 15:00:00,97
2023-02-01,16.57,5.07,2023-02-01 16:45:00,19.65,4.12,2023-02-01 16:45:00,20.05,4.01,2023-02-01 16:45:00,97
2023-02-02,13.42,6.49,2023-02-02 17:15:00,13.97,6.2,2023-02-02 16:15:00,14.95,5.73,2023-02-02 15:45:00,97
2023-02-03,18.54,4.42,2023-02-03 16:45:00,19.74,4.09,2023-02-03 16:15:00,20.67,3.86,2023-02-03 16:15:00,97
2023-02-04,19.63,4.12,2023-02-04 14:45:00,22.63,3.44,2023-02-04 14:30:00,24.44,3.11,2023-02-04 12:45:00,97
2023-02-05,26.26,2.83,2023-02-05 17:00:00,26.72,2.76,2023-02-05 16:45:00,29.1,2.45,2023-02-05 16:30:00,97
2023-02-06,17.2,4.85,2023-02-06 16:45:00,19.67,4.11,2023-02-06 16:45:00,21.18,3.75,2023-02-06 15:45:00,97
2023-02-07,18.2,4.52,2023-02-07 16:30:00,21.69,3.64,2023-02-07 16:15:00,24.04,3.18,2023-02-07 16:00:00,97
2023-02-08,18.33,4.49,2023-02-08 18:30:00,18.92,4.31,2023-02-08 17:30:00,20.99,3.79,2023-02-08 16:30:00,97
